question_id,model_name,question_type,llm_answer,correct_answer,is_correct,score,details,processing_time,error,timestamp
0016,google/gemini-2.5-flash-lite,true_false,"A: Falso, B: Vero, C: Falso, D: Vero, E: Vero","[{'id': 'A', 'text': 'False', 'note': 'Risposta esatta.'}, {'id': 'B', 'text': 'True', 'note': 'Risposta esatta.'}, {'id': 'C', 'text': 'False', 'note': 'Risposta esatta.'}, {'id': 'D', 'text': 'True', 'note': 'Risposta esatta.'}, {'id': 'E', 'text': 'True', 'note': 'Risposta esatta.'}]",True,1.0,Matched 5/5 statements,2.4077084064483643,,2025-10-16T13:32:46.250982
0017,google/gemini-2.5-flash-lite,positioning,"Mantegna, 1474, San Giorgio, prospettiva, illusionistico, reale","[{'blank_position': 1, 'correct_term': 'Mantova'}, {'blank_position': 2, 'correct_term': 'Mantegna'}, {'blank_position': 3, 'correct_term': 'San Giorgio'}, {'blank_position': 4, 'correct_term': '1474'}, {'blank_position': 5, 'correct_term': 'illusionistico'}, {'blank_position': 6, 'correct_term': 'prospettiva'}]",,,Manual evaluation required,2.8992421627044678,,2025-10-16T13:32:49.651114
0018,google/gemini-2.5-flash-lite,positioning,"Perugino, Cappella Sistina, politico, Cristo, tempio, Costantino","[{'blank_position': 1, 'correct_term': 'Perugino'}, {'blank_position': 2, 'correct_term': 'Cappella Sistina'}, {'blank_position': 3, 'correct_term': 'temporale'}, {'blank_position': 4, 'correct_term': 'Cristo'}, {'blank_position': 5, 'correct_term': 'tempio'}, {'blank_position': 6, 'correct_term': 'Costantino'}]",,,Manual evaluation required,3.4452803134918213,,2025-10-16T13:32:53.597247
0019,google/gemini-2.5-flash-lite,select_errors,"giovani, bolognese, Piero, Montefeltro","['Roberti', 'bolognese', 'Piero della Francesca', 'Montefeltro', 'Ginevra']",False,0.4,Matched 2/5 answers,1.8769245147705078,,2025-10-16T13:32:55.975213
0020,google/gemini-2.5-flash-lite,completion_open,"1475, piccola, arco, rinascimento, vano, accesso, teatrale","['1475', 'piccola', 'arco', 'gotico', 'vano', 'accesso', 'teatrale']",,,Manual evaluation required,1.9249277114868164,,2025-10-16T13:32:58.400902
0022,google/gemini-2.5-flash-lite,completion_closed,"BLANK_1: Giovanni Bellini, BLANK_2: artificiosità, BLANK_3: vero, BLANK_4: prospettiva, BLANK_5: tonale",[],,,No ground truth available,1.8262050151824951,,2025-10-16T13:33:00.727863
0026,google/gemini-2.5-flash-lite,true_false,"A: Falso, B: Vero, C: Vero, D: Vero, E: Vero",[],,,No ground truth available,1.7153806686401367,,2025-10-16T13:33:02.944003
0027,google/gemini-2.5-flash-lite,positioning,"Mantova, Mantegna, San Giorgio, 1474, illusionistico, prospettiva",[],,,No ground truth available,0.5887184143066406,,2025-10-16T13:33:04.033482
0028,google/gemini-2.5-flash-lite,positioning,"Perugino, Cappella Sistina, politico, Cristo, tempio, Costantino",[],,,No ground truth available,0.6320106983184814,,2025-10-16T13:33:05.166169
0029,google/gemini-2.5-flash-lite,select_errors,"Ercole de' Cossa, Raffaello, Federico da Montepulciano, Battista Sforza, sorellastra di Ginevra",[],,,No ground truth available,0.5821387767791748,,2025-10-16T13:33:06.248876
0030,google/gemini-2.5-flash-lite,completion_open,"1474, La, portale, rinascimentale, spazio, sinistra, prospettica",[],,,No ground truth available,0.6326212882995605,,2025-10-16T13:33:07.381984
